Object	Obs_id	B	R
MGE_4384	1342226189	1469490346084	1469490349761
MGE_3438	1342231302	1469521513742	1469521516094
MGE_3448	1342231303	1469514442952	1469514444443
MGE_3269	1342231738	1469524638728	1469524641612
MGE_3280	1342231739	1469522144533	1469522146728
MGE_3739	1342231740	1469521300505	1469521302168
MGE_3736	1342231741	1469525025711	1469525029061
MGE_3719	1342231742	1469522479374	1469522481768
MGE_3222	1342231743	1469521477367	1469521479523
MGE_3354	1342231744	1469521006289	1469521008256
MGE_3360	1342231745	1469521121451	1469521123026
MGE_3681	1342231746	1469529331643	1469529333993
MGE_3670	1342231747	1469522737203	1469522740006
MGE_4048	1342238730	1469564809678	1469564811811
MGE_4191	1342239689	1469582272159	1469582274057
MGE_4206	1342239741	1469572363981	1469572365476
MGE_4134	1342239757	1469584604558	1469584606720
MGE_4121	1342240165	1469570899248	1469570900926
MGE_4095	1342240166	1469572204309	1469572206183
MGE_4218	1342240167	1469570989839	1469570991810
MGE_3899	1342241267	1469579964671	1469579966833
MGE_4552	1342242444	1469600589642	1469600591613
MGE_4436	1342242445	1469599607715	1469599609929
MGE_4486	1342242446	1469600455170	1469600457613
MGE_4485	1342243105	1469586880720	1469586883421
MGE_4111	1342243106	1469584665151	1469584667059
MGE_4110	1342243107	1469585614310	1469585616932
MGE_4204	1342243108	1469584697885	1469584699523
MGE_3149	1342243505	1469591141648	1469591143676
MGE_4602	1342243506	1469591051722	1469591053324
MGE_4473	1342243507	1469587957187	1469587958734
MGE_4524	1342243513	1469591535664	1469591537168
MGE_3834	1342243901	1469602803521	1469602805906
MGE_4239	1342250917	1469669331205	1469669334113
MGE_4167	1342252270	1469666741616	1469666743588
